epoch,runtime
1,281.6307463645935
2,282.3387031555176
3,280.4688558578491
4,276.4724762439728
5,286.81258249282837
6,277.49351263046265
7,276.940523147583
8,282.0038344860077
9,287.3043348789215
10,282.83943271636963
11,276.52306485176086
12,281.90833497047424
13,281.8715410232544
14,278.6810054779053
15,282.4701421260834
16,282.21818494796753
17,281.9154076576233
18,282.81748247146606
19,286.59174966812134
20,281.0731520652771
21,278.23172187805176
22,283.4860625267029
23,280.633526802063
24,280.79788994789124
25,283.3126950263977
26,284.49855375289917
27,271.94376015663147
28,277.8269793987274
29,284.74701476097107
30,279.77217388153076
31,274.8733232021332
32,280.1963300704956
33,270.83981347084045
34,281.7332684993744
35,281.97880005836487
36,279.23300862312317
37,273.95447158813477
38,277.6609101295471
39,278.5418059825897
40,272.90700244903564
41,279.7492139339447
42,274.38350439071655
43,282.9039387702942
44,276.6887700557709
45,284.85698199272156
46,279.58723759651184
47,277.0659866333008
48,274.6454498767853
49,281.5734238624573
50,280.7051317691803
51,270.6259038448334
52,277.66347670555115
53,272.72329902648926
54,279.62032079696655
55,279.3809587955475
56,274.5780074596405
57,280.78040599823
58,280.8317697048187
59,283.0259487628937
60,276.56550884246826
61,280.1334638595581
62,280.371839761734
63,279.9107964038849
64,283.26629519462585
65,274.0669012069702
66,279.5980656147003
67,279.31987500190735
68,276.6024839878082
69,281.6023073196411
70,281.10776567459106
71,280.34973883628845
72,284.92200779914856
73,274.8639245033264
74,272.6279480457306
75,284.39747047424316
76,280.1854016780853
77,285.2753269672394
78,278.7946333885193
79,277.2412004470825
80,276.47055888175964
81,279.3227343559265
82,282.7326090335846
83,277.7360804080963
84,279.7174801826477
85,272.14942026138306
86,281.05984020233154
87,272.29077649116516
88,288.10435342788696
89,275.5574789047241
90,275.39515137672424
91,273.89744305610657
92,278.17540979385376
93,277.98708844184875
94,285.98631477355957
95,283.90814900398254
96,273.99515748023987
97,275.7579503059387
98,279.23793745040894
99,278.52668714523315
100,280.5954329967499
101,277.1241729259491
102,277.38903164863586
103,283.22483253479004
104,286.5048289299011
105,278.9126706123352
106,278.5454444885254
107,276.50905323028564
108,280.7827136516571
109,277.1478886604309
110,281.4090676307678
111,279.6672625541687
112,275.07419085502625
113,283.1096205711365
114,282.94751811027527
115,277.80450320243835
116,277.9743912220001
117,286.226576089859
118,284.7516767978668
119,282.71248269081116
120,282.88467383384705
121,283.6580374240875
122,282.5501034259796
123,285.1461133956909
124,281.33874320983887
125,285.8946707248688
126,281.1392104625702
127,273.3107182979584
128,274.35568928718567
129,284.8638668060303
130,275.5003147125244
131,276.5362696647644
132,285.08125138282776
133,269.8114492893219
134,278.8253996372223
135,278.81936144828796
136,285.73936557769775
137,286.4170033931732
138,281.20122480392456
139,273.5389301776886
140,276.51156520843506
141,277.94573998451233
142,271.69356417655945
143,277.9937391281128
144,275.531964302063
145,276.3576147556305
146,282.18594241142273
147,280.077285528183
148,279.515394449234
149,281.3676378726959
150,274.93877124786377
151,277.03362226486206
152,278.4354691505432
153,283.03403997421265
154,282.06531405448914
155,277.905757188797
156,279.2874994277954
157,277.9418113231659
158,274.1946566104889
159,286.37716150283813
160,281.36241602897644
161,287.1908574104309
162,275.9833104610443
163,282.39356899261475
164,272.0384075641632
165,279.1394693851471
166,279.7366726398468
167,278.13996148109436
168,282.4265367984772
169,276.0107192993164
170,278.8791546821594
171,271.8275656700134
172,282.33026123046875
