drug,neighbourhood_method,vector_method,cosine_to_actual
CID000003954,drug similarity,mean components,0.8226631784052737
CID000004829,drug similarity,mean components,0.7974291627740059
CID000004140,drug similarity,mean components,0.7658629720324343
CID000002909,drug similarity,mean components,0.8103538455957948
CID000003676,drug similarity,mean components,0.8042982202982119
CID000003339,drug similarity,mean components,0.7711084368575004
CID000005656,drug similarity,mean components,0.8557684361890978
CID000000853,drug similarity,mean components,0.8670631891720917
CID000119607,drug similarity,mean components,0.6650502731828714
CID000004889,drug similarity,mean components,0.8641060214989937
CID000003154,drug similarity,mean components,0.8020250440696157
CID000005029,drug similarity,mean components,0.8685263079996474
CID000003823,drug similarity,mean components,0.793989757050164
CID000003937,drug similarity,mean components,0.8342359815378454
CID000003883,drug similarity,mean components,0.8672093965461403
CID000004885,drug similarity,mean components,0.7497536187224334
CID000003961,drug similarity,mean components,0.8700830402731092
CID000060835,drug similarity,mean components,0.8061641537742996
CID000002622,drug similarity,mean components,0.8123539426416364
CID000004609,drug similarity,mean components,0.7864024603259848
CID003468412,drug similarity,mean components,0.7666742657172072
CID000060147,drug similarity,mean components,0.8191053610631289
CID000002244,drug similarity,mean components,0.802054440695937
CID000002806,drug similarity,mean components,0.84818573070454
CID000003446,drug similarity,mean components,0.8303143642196995
CID000005352,drug similarity,mean components,0.7401706220017487
CID000004112,drug similarity,mean components,0.8150200492103497
CID000004635,drug similarity,mean components,0.8346030021781334
CID000002088,drug similarity,mean components,0.8376257899827663
CID000002311,drug similarity,mean components,0.7246032803929746
CID000000772,drug similarity,mean components,0.6876361303753894
CID000003672,drug similarity,mean components,0.8290643152335294
CID000004583,drug similarity,mean components,0.8394160579168177
CID000003639,drug similarity,mean components,0.8496874243910127
CID000004585,drug similarity,mean components,0.7605313545014579
CID000003899,drug similarity,mean components,0.7188352828937778
CID000004616,drug similarity,mean components,0.8486007347414544
CID000005064,drug similarity,mean components,0.7724554084669185
CID000003929,drug similarity,mean components,0.7906938257140783
CID000051263,drug similarity,mean components,0.8006900510076166
CID000065999,drug similarity,mean components,0.8073466395410834
CID000083786,drug similarity,mean components,0.8327598769185237
CID000002524,drug similarity,mean components,0.8507058627281346
