Unnamed: 0,side_effect,fake_triple_component,AUROC,AUPRC,AP50
3,C0000737,head,0.6731899235604065,0.6557506425929771,0.6505507659396944
4,C0000737,tail,0.7055537654664247,0.6990863411093796,0.7476590678902235
5,C0000737,both,0.5604855361646605,0.547143329382864,0.4143563306256556
6,C0000768,head,0.8060192548167393,0.7669979540011345,0.7368870601672352
7,C0000768,tail,0.8523109422234093,0.8175759227819834,0.8188474942152116
8,C0000768,both,0.5583168425014264,0.5696402049935172,0.4207238519237824
9,C0000786,head,0.8044682671951714,0.7655653307719478,0.6471499951812002
10,C0000786,tail,0.8666726724021441,0.8689719664588347,0.9195218768286382
11,C0000786,both,0.6448358182063871,0.5896670329755307,0.3424053197090678
12,C0000833,head,0.822081984031789,0.7819660710700745,0.8050027266009575
13,C0000833,tail,0.8790042534178089,0.8466230936518108,0.9000791952887083
14,C0000833,both,0.6182996739986248,0.5910413229516376,0.4933579840217215
15,C0001122,head,0.8041983487497466,0.7786267391836506,0.8555044147712586
16,C0001122,tail,0.8596397003634684,0.8305842263602915,0.9315808403347614
17,C0001122,both,0.5866812394178598,0.5667388712014829,0.4354204072053153
18,C0001126,head,0.7933865186726788,0.7670604716201224,0.6383909469116891
19,C0001126,tail,0.8551277604347323,0.8287252429096211,0.7975334568650393
20,C0001126,both,0.5909353682506648,0.5731975645803981,0.36443925235156
21,C0001339,head,0.8166479938472839,0.7802222022957362,0.7625771661893078
22,C0001339,tail,0.8609265266693101,0.8290003936495047,0.9117693139122172
23,C0001339,both,0.6242838020166644,0.6158870720666376,0.6453842122405361
24,C0001418,head,0.8188037976493465,0.7720263290304511,0.6567349029369736
25,C0001418,tail,0.860664088192399,0.8093585049278776,0.7197710858115787
26,C0001418,both,0.5976757985644428,0.5712563965292785,0.3688222678144374
27,C0001430,head,0.8859180472502696,0.8794445868249879,0.9423135542060824
28,C0001430,tail,0.9039064797568864,0.8877889057178745,0.8814274830026362
29,C0001430,both,0.6713067346338595,0.6433569134802637,0.5771487954791842
30,C0001546,head,0.8488129945855893,0.8224604669807218,0.7803792101868123
31,C0001546,tail,0.9272178259058724,0.9127243087904082,0.8997340226947466
32,C0001546,both,0.7208454810495627,0.7079006225084555,0.6011402381384149
33,C0001623,head,0.8322335132400067,0.8058128506495992,0.8276540770110947
34,C0001623,tail,0.8731025468038455,0.8611015657506236,0.9290332667827034
35,C0001623,both,0.5981721200877045,0.6004186986490775,0.5787535367689138
36,C0001818,head,0.8211950059453033,0.7886839020531824,0.7329871551603634
37,C0001818,tail,0.9207788347205708,0.9112230760767112,0.9276812010609464
38,C0001818,both,0.647666468489893,0.6133857084064286,0.4225077631122956
39,C0001824,head,0.7976024106908901,0.7475543528082744,0.6257260716575225
40,C0001824,tail,0.8524598218184994,0.8269890001026448,0.8113673110295262
41,C0001824,both,0.593900122281422,0.5679390034984275,0.3224097402844355
42,C0001948,head,0.8386286102781386,0.8246061518609531,0.9144687766397196
43,C0001948,tail,0.8818366132889801,0.8498110116978166,0.8408232631638984
44,C0001948,both,0.6487513506294843,0.6277825374799557,0.4642139658053477
45,C0001969,head,0.8803657492905725,0.8734235693894814,0.9116831496530814
46,C0001969,tail,0.8584298004594388,0.8154362076261418,0.7466355400664458
47,C0001969,both,0.6429890545470925,0.6252123058761132,0.465018223187048
48,C0002064,head,0.8364462809917356,0.7767216629121406,0.6455947547258976
49,C0002064,tail,0.9102479338842976,0.9100877752928588,0.9276129070527378
50,C0002064,both,0.6072727272727273,0.5857670719264423,0.3925816832246153
51,C0002103,head,0.8713399728383885,0.8450885096992717,0.935581175080912
52,C0002103,tail,0.9136577636939792,0.8933060689787051,0.8909157347010787
53,C0002103,both,0.6546265278406519,0.6470331411519936,0.614783752878794
54,C0002170,head,0.808938478470834,0.7724819215455824,0.8746244002583587
55,C0002170,tail,0.8742314020349947,0.8477309362903033,0.8886691876573203
56,C0002170,both,0.6367002369668247,0.620500358670694,0.6756441352714845
57,C0002390,head,0.8190548204158791,0.7630592605305604,0.6514639269219025
58,C0002390,tail,0.8917958412098299,0.8848505953535057,0.8737084863439536
59,C0002390,both,0.6598865784499054,0.6435642322057878,0.4897041126093931
60,C0002453,head,0.881876291322314,0.8552146907392626,0.8628058951346107
61,C0002453,tail,0.9106082128099172,0.8832169430401468,0.8487971669550535
62,C0002453,both,0.6952156508264464,0.668256488923188,0.5905981375415402
63,C0002622,head,0.811744127558976,0.7688672744444147,0.8299162429809703
64,C0002622,tail,0.8598040843015945,0.8248188641153964,0.9124367580861912
65,C0002622,both,0.6191117147024797,0.5844877342982898,0.2780843086153104
66,C0002726,head,0.8538832199546486,0.8518021322559193,0.8025930638915265
67,C0002726,tail,0.9136904761904762,0.8905116090714507,0.819332863638564
68,C0002726,both,0.6600056689342405,0.6656151645710362,0.5073468700865442
69,C0002736,head,0.89890625,0.8766525660890883,0.7866845041175474
70,C0002736,tail,0.904375,0.8847260046816455,0.8362960269047203
71,C0002736,both,0.72640625,0.725953247412751,0.6126222951699798
72,C0002792,head,0.784843435794312,0.7552714699964899,0.8186013851891824
73,C0002792,tail,0.8619189887963229,0.8320831144041962,0.8984513954701648
74,C0002792,both,0.6075811548405631,0.5820427564397299,0.4243256290164027
75,C0002871,head,0.7876752079837696,0.7398391018915191,0.6145610172108813
76,C0002871,tail,0.8377074817408939,0.7898003077440664,0.7120899395955926
77,C0002871,both,0.5898932080635457,0.560010306102575,0.4536858173955492
78,C0002874,head,0.8274229983147477,0.7866863901651303,0.6645769795726644
79,C0002874,tail,0.8524507870486572,0.8239297376288091,0.8104024686853174
80,C0002874,both,0.6450213345763562,0.6116811938192628,0.4027952873015035
81,C0002878,head,0.8527150505172484,0.8206157669377858,0.8205579032997896
82,C0002878,tail,0.8477773752499027,0.81868623512628,0.7887359617733568
83,C0002878,both,0.6298487836949375,0.6068302146780344,0.4321469611891906
84,C0002884,head,0.7927720107650903,0.780642146999702,0.5811044568192276
85,C0002884,tail,0.8754325259515571,0.8338213386489665,0.6862965572932123
86,C0002884,both,0.6739715494040753,0.6396843791804296,0.4311274618958585
87,C0002940,head,0.8573300188121473,0.8295073389715946,0.7823065243715682
88,C0002940,tail,0.9191329615694706,0.8899370657334115,0.8754720019968195
89,C0002940,both,0.6650513974737974,0.6548733973565724,0.5706772979701144
90,C0002962,head,0.8185229639277757,0.7817509511304381,0.8177171630365409
91,C0002962,tail,0.8653520372223886,0.8367068074613968,0.9289952583127762
92,C0002962,both,0.6366057982601335,0.6179590635302623,0.6587534171507707
93,C0002994,head,0.7863152300988415,0.7391520631809001,0.6700436510982146
94,C0002994,tail,0.8594026995429909,0.8058580800731759,0.6972099616464762
95,C0002994,both,0.6002763311722819,0.5675045901139518,0.2901524448839692
96,C0003044,head,0.9412106256350704,0.929029806110191,0.9079594793801364
97,C0003044,tail,0.9383074466540862,0.9213585817088076,0.8780948829000903
98,C0003044,both,0.7281172884308318,0.7112745332573422,0.5675359765275977
99,C0003079,head,0.8298,0.8281140309454271,0.8298792107158155
100,C0003079,tail,0.8633,0.8485016228908984,0.8011946932240112
101,C0003079,both,0.5543,0.5647814238717501,0.3546765507038582
102,C0003123,head,0.7864009035667043,0.7364031892393688,0.7092254150141961
103,C0003123,tail,0.8507446316688875,0.8111212891193935,0.9209957426494444
104,C0003123,both,0.6057088932215554,0.5751907307963487,0.4596368073166809
105,C0003126,head,0.8513825828976053,0.8263160279649004,0.8375823442210708
106,C0003126,tail,0.9100624498024882,0.8936118447014141,0.8917957491116775
107,C0003126,both,0.682899244373781,0.6604475062655035,0.5363261755674805
108,C0003467,head,0.8096380916743374,0.7716371767491585,0.7851388230622885
109,C0003467,tail,0.851258215347307,0.8208482938149012,0.933861455022509
110,C0003467,both,0.6050158449746337,0.5816560804905118,0.4904431191814444
111,C0003486,head,0.8613331127676513,0.8450585250468969,0.8845632709695321
112,C0003486,tail,0.8971164483411048,0.8755432111462557,0.9098554089374388
113,C0003486,both,0.6590089018930739,0.6272754140068337,0.4548365932443904
114,C0003504,head,0.8276849489795919,0.7898551497482686,0.8058214329109198
115,C0003504,tail,0.874748086734694,0.8369384151859116,0.856627887518544
116,C0003504,both,0.6259343112244897,0.6094877402888706,0.5596908704615294
117,C0003507,head,0.8429361979166666,0.806098250640233,0.777305564666796
118,C0003507,tail,0.8975965711805555,0.8756726877068721,0.8827000984791137
119,C0003507,both,0.6282280815972222,0.5997525226339055,0.4136226422658488
120,C0003537,head,0.8150238859738429,0.7591698296298324,0.5949117827327117
121,C0003537,tail,0.873731693946276,0.8449228804505051,0.9298442047032284
122,C0003537,both,0.6241804369958494,0.6128498158100559,0.5941332823633046
123,C0003564,head,0.8808489559518365,0.8645946008269727,0.8529861963272962
124,C0003564,tail,0.8810394756896814,0.8672203704605611,0.898776668309188
125,C0003564,both,0.729804907788447,0.7088584420523312,0.6727104533141075
126,C0003578,head,0.801993731874465,0.7699700454553495,0.7979915421033482
127,C0003578,tail,0.8818230516781705,0.8483428323847912,0.8387169967213892
128,C0003578,both,0.6183893749730618,0.5845685260930804,0.3166294286916765
129,C0003611,head,0.8803050632017513,0.850484087046427,0.7912983359098562
130,C0003611,tail,0.8712661535202316,0.8448538388895905,0.7930569092646792
131,C0003611,both,0.6195890120754184,0.6099892189939264,0.4259293676225091
132,C0003615,head,0.8609627300753945,0.8463745051244278,0.8738133082985371
133,C0003615,tail,0.8819022618357193,0.8607893779736239,0.8778872101006866
134,C0003615,both,0.6777876133207168,0.670813038770725,0.5719790037062591
135,C0003635,head,0.8628308128544423,0.8182573172812513,0.7498991413494567
136,C0003635,tail,0.9419896030245748,0.9422927593960088,0.9796
137,C0003635,both,0.7023865784499055,0.6886039951544686,0.5943907360347706
138,C0003708,head,0.9042236763831052,0.8673254735749327,0.7727404712400682
139,C0003708,tail,0.945121951219512,0.9422065875035444,0.9370996418094114
140,C0003708,both,0.7082093991671623,0.6892081066878246,0.5002744472982278
141,C0003811,head,0.7925443531866182,0.7413732739917601,0.6069059561107022
142,C0003811,tail,0.8441825462426978,0.7994278094385867,0.6932726696337825
143,C0003811,both,0.6073089662167119,0.576561216806442,0.3857445214750823
144,C0003850,head,0.8037568223687609,0.7637410161874894,0.8314019461779787
145,C0003850,tail,0.8706729490806899,0.8390869184555898,0.9160501854096824
146,C0003850,both,0.6163117026222,0.5917216405415786,0.5405066087122059
147,C0003862,head,0.8127407741339174,0.7740556514268533,0.9112411936953164
148,C0003862,tail,0.8687585540949556,0.8395216296190618,0.8664465349776882
149,C0003862,both,0.6190290541395158,0.5960624159602541,0.6182479482022505
150,C0003864,head,0.8454839409722222,0.8104805614867552,0.8775070655716878
151,C0003864,tail,0.8892914496527777,0.8622937428609873,0.9365125205972902
152,C0003864,both,0.6513454861111111,0.624639841486448,0.6093426898459695
153,C0003868,head,0.924752896163248,0.919705437305518,0.9276375020407428
154,C0003868,tail,0.9209267722393452,0.9068098040291248,0.8867788116932874
155,C0003868,both,0.6705282176639388,0.6739433856275157,0.5132642893033585
