Unnamed: 0,side_effect,fake_triple_component,AUROC,AUPRC,AP50
3,C0000737,head,0.6810414581006793,0.6669682333426027,0.6473365114108028
4,C0000737,tail,0.6975754824350806,0.693868186473124,0.7891342473919742
5,C0000737,both,0.5669741426533542,0.5514401320693243,0.3304281216365629
6,C0000768,head,0.8307251514526096,0.7887796282482185,0.7322559872807604
7,C0000768,tail,0.845657953841858,0.8192254723527916,0.8531540544337268
8,C0000768,both,0.622200099552016,0.5889384265272428,0.3937055886954476
9,C0000786,head,0.8092428268996892,0.7886954542074398,0.7530595129444617
10,C0000786,tail,0.8614476825368226,0.8481623580770336,0.8918266903755536
11,C0000786,both,0.6311877843340391,0.6023306263026572,0.4023207460787409
12,C0000833,head,0.8199552751273749,0.7997958396204965,0.8975736669874671
13,C0000833,tail,0.8613875989337174,0.8294692432100548,0.8558400881994239
14,C0000833,both,0.6083298448511087,0.5851638249008726,0.4644977064033347
15,C0001122,head,0.7991014663607106,0.7713353845367354,0.9509925597311232
16,C0001122,tail,0.8383498776130586,0.7984521960579003,0.7660531540547868
17,C0001122,both,0.5969931616380381,0.5719280973246591,0.5409342794242396
18,C0001126,head,0.7806682853509076,0.7521708170247464,0.637324915851246
19,C0001126,tail,0.8432188692334373,0.8090469872406352,0.7568999638288745
20,C0001126,both,0.5956758006705978,0.5846433764543733,0.3495868504132666
21,C0001339,head,0.8300897625935083,0.804004484416428,0.940813356634891
22,C0001339,tail,0.8585274463832834,0.8299474089439347,0.9141076090347092
23,C0001339,both,0.6651905825121285,0.6438739454395578,0.5516280046614996
24,C0001418,head,0.8158994395035603,0.7795379104557827,0.7657667523790291
25,C0001418,tail,0.8526391232234264,0.7971542709750371,0.6030355478720211
26,C0001418,both,0.6069143384140239,0.589809536659508,0.48538396224341
27,C0001430,head,0.8735663170277423,0.8574506421316551,0.8974020392793267
28,C0001430,tail,0.8904519164787765,0.8700613710811892,0.8909885172827419
29,C0001430,both,0.6557445348495246,0.6253056403547755,0.4636445713084661
30,C0001546,head,0.8150770512286547,0.7941477338768006,0.7500788899472717
31,C0001546,tail,0.9118075801749272,0.8893045878294563,0.8425669442649146
32,C0001546,both,0.6383798417326114,0.6079762921385137,0.4263039576668561
33,C0001623,head,0.8169800978242535,0.7784453729612331,0.7609562816014684
34,C0001623,tail,0.8581442907741609,0.8391628066920734,0.8868538212501491
35,C0001623,both,0.5844577500421655,0.574149172699215,0.4490421532243104
36,C0001818,head,0.8367271105826397,0.7909599909923202,0.7139204969331732
37,C0001818,tail,0.8844381688466112,0.8821191702179201,0.893059641342027
38,C0001818,both,0.6456599286563615,0.6337849243943435,0.4868218665855577
39,C0001824,head,0.8075596121932047,0.7740730243997518,0.7897310711043823
40,C0001824,tail,0.8447790200017469,0.796458797502829,0.7135893424969808
41,C0001824,both,0.6179033103327802,0.5905954166813843,0.4555239899724687
42,C0001948,head,0.8400247665990844,0.8218260123772594,0.8123837204927056
43,C0001948,tail,0.8550911143755539,0.8268710935309351,0.8421201408321126
44,C0001948,both,0.6303463681724921,0.6114509470376663,0.4781095899675687
45,C0001969,head,0.8622134138101887,0.8449976299429207,0.8594309515052377
46,C0001969,tail,0.8571685960091888,0.8356010526201888,0.7799131833499409
47,C0001969,both,0.6278546011440926,0.6277526000373307,0.5459065980960429
48,C0002064,head,0.8339669421487603,0.771996720750439,0.6521575126451523
49,C0002064,tail,0.8935537190082644,0.8647898125198694,0.7802493058220756
50,C0002064,both,0.6635537190082644,0.6370366285902915,0.5246032041778753
51,C0002103,head,0.8620280669986419,0.8362364345143007,0.904130388914797
52,C0002103,tail,0.8853191489361704,0.8718451522467998,0.9372389764993516
53,C0002103,both,0.6369714803078317,0.6232419181400926,0.5386404755338048
54,C0002170,head,0.7967770827250061,0.7720703162705462,0.8949502041972007
55,C0002170,tail,0.8546416297926821,0.8242024227574778,0.7858433245400279
56,C0002170,both,0.6113575616001438,0.5999885220263078,0.6358639262668241
57,C0002390,head,0.8178449905482041,0.772857150023136,0.5887137928764843
58,C0002390,tail,0.9053308128544424,0.8993625190932883,0.9108631279590808
59,C0002390,both,0.6769754253308128,0.6520530862205982,0.5237266251265631
60,C0002453,head,0.8627001549586777,0.8444484925979628,0.842890524460359
61,C0002453,tail,0.8968233471074379,0.850008223925497,0.7512678395949811
62,C0002453,both,0.6516012396694214,0.6304658991632818,0.4599708971788876
63,C0002622,head,0.8117182234294049,0.7738428361661027,0.7485920370825566
64,C0002622,tail,0.8489064936371409,0.8176849332673202,0.8839376364203692
65,C0002622,both,0.6121105578190232,0.5960215244941128,0.5212999323047255
66,C0002726,head,0.8613945578231293,0.8232124735638054,0.709351512152053
