epoch,runtime
1,421.89350152015686
2,427.39855575561523
3,425.9034113883972
4,415.7446849346161
5,429.55558347702026
6,419.8333351612091
7,417.7277092933655
8,416.0855734348297
9,417.527615070343
10,429.6957206726074
11,420.25240445137024
12,408.8776068687439
13,408.2440252304077
14,414.1700735092163
15,423.6463129520416
16,411.9298403263092
17,416.41545271873474
18,411.04296922683716
19,411.3201117515564
20,411.2947676181793
21,408.1728415489197
22,408.0831651687622
23,415.3026671409607
24,410.7392854690552
25,408.12316942214966
26,420.6170265674591
27,422.69717359542847
28,415.81313467025757
29,414.46967339515686
30,416.49194383621216
31,416.2279736995697
32,411.773108959198
33,416.598993062973
34,415.7581503391266
35,405.9319875240326
36,416.2615604400635
37,411.7434220314026
38,422.032595872879
39,418.6652932167053
40,405.2288842201233
41,419.7796790599823
42,410.6251816749573
43,409.3036949634552
44,418.2908687591553
45,417.2761220932007
46,413.27410650253296
47,417.56337332725525
48,414.8269772529602
49,411.44414806365967
50,416.7166111469269
51,412.7600038051605
52,413.1688458919525
53,410.4602003097534
54,412.7107639312744
55,413.1176633834839
